rho,nu,F_twidle,speed U,q,ID #,Whale,Species,Total Length (m),Log10 TL (m),Mass per Unit Length,Mass Based on TL,Log Mass,Sa Coeff (area/m),Surface Area (m2),Fluke Area (m),FA/L,Chord Length (m),Maximum Diameter,Fineness Ratio,w_max/TL,pressure drag coef 2nd bracket,Reynolds number,friction drag 1st bracket,drag coefficient C_D,Drag force (N),Special Notes
1025,0.00000119,1,2,2050,5,bb180304-42,Minke,8.039457656,0.905226752,825,6632.552566,3.821680701,3.5,28.1381018,1.109,0.137944629,0.734559658,1.424354646,5.644280854,0.177170489,1.150789812,13511693.54,0.002698923,0.003105893,179.1575873,
1025,0.00000119,1,2,2050,6,bb180304-45,Minke,8.620920788,0.935553655,825,7112.25965,3.852007603,3.5,30.17322276,1.071,0.124232669,0.743414236,1.444013611,5.970110478,0.167501088,1.13572609,14488942.5,0.002661492,0.003022726,186.9710304,Speed messed up near end. Removed A series of flukebeats without speed.
1025,0.00000119,1,2,2050,15,bp170907-41b,Fin,18.47,1.266466895,2220.120573,41005.62698,4.612843457,5.814969371,107.4024843,2.435,0.131835409,1,,,0,1,31042016.81,0.002285296,0.002285296,503.165318,"Gyros messed up. Using Accelerometer x-axis (Aw(:,1))."
1025,0.00000119,1,2,2050,19,bp180828-44,Fin,19.33,1.286231854,2220.120573,42914.93067,4.632608415,5.814969371,112.4033579,3.127,0.161769271,1.13,1.9,10.17368421,0.098292809,1.052872252,32487394.96,0.00226459,0.002384324,549.4122588,
1025,0.00000119,1,2,2050,28,bw170813-44,Blue,22.59,1.353916231,3659.249544,82662.4472,4.917308258,6.776804323,153.0880096,4.442,0.19663568,1.33,,,0,1,37966386.55,0.002195092,0.002195092,688.886511,"yaxisgyro is slightly below zero, might want to re-center."
1025,0.00000119,1,2,2050,30,bw170814-31,Blue,22.21,1.346548559,3659.249544,81271.93237,4.909940586,6.776804323,150.512824,4.471,0.201305718,1.24,2.71,8.195571956,0.122017109,1.076648883,37327731.09,0.002202552,0.002371375,731.6908725,One measurement removed for lack of accurate speed measure (assumed)
1025,0.00000119,1,2,2050,31,bw170814-40,Blue,22.53,1.352761192,3659.249544,82442.89223,4.916153219,6.776804323,152.6814014,5.285,0.234576121,1.34,2.863333825,7.868450338,0.127089828,1.082329766,37865546.22,0.002196259,0.002377077,744.0176741,
1025,0.00000119,1,2,2050,32,bw170814-50,Blue,22.75,1.356981401,3659.249544,83247.92713,4.920373428,6.776804323,154.1722983,4.442,0.195252747,1.24,3.170940129,7.174528396,0.139381984,1.097009834,38235294.12,0.002191995,0.00240464,759.9943051,
1025,0.00000119,1,2,2050,33,bw170814-51,Blue,20.7,1.315970345,3659.249544,75746.46556,4.879362373,6.776804323,140.2798495,3.698,0.178647343,1.04,,,0,1,34789915.97,0.002233787,0.002233787,642.3784643,
1025,0.00000119,1,2,2050,34,bw170815-21,Blue,22.55,1.353146546,3659.249544,82516.07722,4.916538574,6.776804323,152.8169375,3.357,0.14886918,1.27,2.665749505,8.459159407,0.118215056,1.072532011,37899159.66,0.00219587,0.002355141,737.8060234,
