Frequency,Depth,Pitch,Speed,Behavioral State,Normalized Depth %,Individual,Species,Species_Num,Length ,Efficiency,Thrust Power,Drag Coefficient,Reynolds Number
0.32258,56.554,-19.006,3.9097,,,5,Minke ,1,8.0395,0.95447,2577.9,0.0030661,30107000
0.52632,65.955,-36.158,2.6256,,,5,Minke ,1,8.0395,0.86963,6264.8,0.024601,20219000
0.45455,51.482,-50.848,1.9985,,,5,Minke ,1,8.0395,0.84807,3680.5,0.032775,15390000
0.18182,42.105,-24.911,1.9904,,,5,Minke ,1,8.0395,0.95315,403.39,0.003636,15328000
0.58824,47.008,-28.016,3.6647,,,5,Minke ,1,8.0395,0.90835,9519.8,0.013748,28221000
0.38462,56.459,-46.81,4.3349,,,5,Minke ,1,8.0395,0.95354,3967.6,0.0034621,33381000
0.45455,132.8,-5.6864,3.2821,,,5,Minke ,1,8.0395,0.93475,4252.2,0.0085483,25274000
0.55556,130.08,-7.7822,2.8861,,,5,Minke ,1,8.0395,0.87621,7564.4,0.022365,22225000
0.27778,160.61,16.466,3.1086,,,5,Minke ,1,8.0395,0.95345,1480.7,0.0035037,23938000
0.4,169.04,19.586,2.4473,,,5,Minke ,1,8.0395,0.90334,3036.1,0.014723,18845000
0.52632,167.72,27.6,3.2234,,,5,Minke ,1,8.0395,0.90337,6925,0.014697,24822000
0.66667,165.65,32.3,3.7964,,,5,Minke ,1,8.0395,0.89182,13731,0.017837,29235000
0.625,162.66,-6.6334,4.0729,,,5,Minke ,1,8.0395,0.91414,11615,0.012219,31364000
0.32258,180.97,-11.309,3.871,,,5,Minke ,1,8.0395,0.95435,2543.9,0.0031173,29809000
0.76923,179.17,-7.9607,3.6902,,,5,Minke ,1,8.0395,0.86268,19056,0.026955,28417000
0.52632,171.64,28.078,2.8964,,,5,Minke ,1,8.0395,0.88583,6653.2,0.019463,22304000
0.66667,171.93,38.117,4.4324,,,5,Minke ,1,8.0395,0.91918,13875,0.011326,34132000
0.33333,42.396,68.408,2.5231,,,5,Minke ,1,8.0395,0.9426,1645.3,0.0072807,19429000
0.47619,36.685,66.105,3.0395,,,5,Minke ,1,8.0395,0.91137,5105.1,0.012922,23406000
0.52632,18.292,12.004,4.7416,,,5,Minke ,1,8.0395,0.95023,7609.5,0.0050736,36513000
0.55556,16.921,10.128,5.0132,,,5,Minke ,1,8.0395,0.95026,8968,0.0050593,38605000
0.58824,15.833,8.3843,5.1809,,,5,Minke ,1,8.0395,0.94985,10324,0.0052766,39896000
0.55556,14.908,12.564,5.3171,,,5,Minke ,1,8.0395,0.9512,9667,0.004571,40945000
0.625,13.779,12.248,5.4977,,,5,Minke ,1,8.0395,0.94983,12363,0.0052883,42336000
0.27778,9.6083,0.66801,1.7764,,,5,Minke ,1,8.0395,0.91142,1015.7,0.012878,13680000
0.52632,25.81,38.119,4.6845,,,5,Minke ,1,8.0395,0.95003,7493.6,0.0051812,36074000
0.5,23.112,37.354,4.5918,,,5,Minke ,1,8.0395,0.95054,6685.3,0.0049079,35360000
0.32258,19.723,32.704,4.0118,,,5,Minke ,1,8.0395,0.95478,2668.5,0.0029376,30893000
0.38462,29.733,12.793,2.4224,,,5,Minke ,1,8.0395,0.90864,2696.8,0.013485,18654000
0.52632,29.854,4.7792,2.8015,,,5,Minke ,1,8.0395,0.87971,6548.6,0.02117,21573000
0.4,30.606,15.162,3.3648,,,5,Minke ,1,8.0395,0.94906,3063.8,0.0057161,25911000
0.47619,29.776,22.06,3.9754,,,5,Minke ,1,8.0395,0.94892,5120.1,0.0057927,30613000
0.41667,8.5912,7.2594,4.5545,,,5,Minke ,1,8.0395,0.95313,4845.3,0.0036453,35072000
0.5,6.11,-14.718,4.7003,,,5,Minke ,1,8.0395,0.95092,6887.3,0.0047142,36195000
0.43478,1.8685,10.193,2.422,,,5,Minke ,1,8.0395,0.88868,3757.8,0.018799,18651000
0.47619,7.1711,-38.077,3.7881,,,5,Minke ,1,8.0395,0.94804,4821.2,0.006304,29171000
0.38462,7.3608,-16.545,4.032,,,5,Minke ,1,8.0395,0.95255,3608.2,0.0039126,31049000
0.30303,5.3457,-17.112,4.1016,,,5,Minke ,1,8.0395,0.95576,2480.8,0.0025553,31585000
0.28571,26.081,-14.729,2.3072,,,6,Minke ,1,8.6209,0.94363,1243.1,0.0067091,19052000
0.20833,37.443,-38.74,1.6921,,,6,Minke ,1,8.6209,0.94374,485.42,0.0066411,13973000
0.41667,17.331,-8.8064,2.4489,,,6,Minke ,1,8.6209,0.88761,3964.2,0.017892,20222000
0.45455,18.598,-14.623,2.9275,,,6,Minke ,1,8.6209,0.90207,5347.2,0.014126,24174000
0.4,20.123,-17.248,2.009,,,6,Minke ,1,8.6209,0.85897,3209.2,0.026235,16589000
0.625,22.209,-8.6505,2.8738,,,6,Minke ,1,8.6209,0.84439,11424,0.031905,23731000
0.58824,44.071,-2.0694,2.5886,,,6,Minke ,1,8.6209,0.8368,9188.2,0.035111,21376000
0.58824,44.438,8.4141,3.3367,,,6,Minke ,1,8.6209,0.88156,10951,0.019539,27553000
0.55556,33.473,-39.595,2.584,,,6,Minke ,1,8.6209,0.84759,8059.5,0.030963,21338000
0.34483,55.915,-26.005,1.9889,,,6,Minke ,1,8.6209,0.88457,2223.7,0.018734,16424000
0.66667,59.178,-31.032,2.519,,,6,Minke ,1,8.6209,0.81096,11623,0.048199,20801000
0.52632,74.833,-13.689,2.8914,,,6,Minke ,1,8.6209,0.8754,7723.8,0.021179,23876000
0.47619,59.671,-5.1063,2.9852,,,6,Minke ,1,8.6209,0.89905,6049.8,0.015074,24651000
0.47619,79.465,-11.342,2.486,,,6,Minke ,1,8.6209,0.86582,5559.1,0.023983,20528000
0.32258,70.982,-30.274,2.6131,,,6,Minke ,1,8.6209,0.94369,1796,0.0066721,21578000
0.5,141.83,-7.5712,3.394,,,6,Minke ,1,8.6209,0.91262,7059.3,0.011968,28027000
0.47619,143.56,-5.3379,3.379,,,6,Minke ,1,8.6209,0.92044,6067.2,0.010424,27903000
0.52632,144.27,-1.0601,3.4862,,,6,Minke ,1,8.6209,0.90731,8293.4,0.012974,28787000
0.71429,143.63,5.2734,3.7655,,,6,Minke ,1,8.6209,0.86881,18778,0.023312,31094000
0.43478,136.47,-19.141,2.7084,,,6,Minke ,1,8.6209,0.89661,4646.3,0.015501,22365000
0.27778,136.61,-12.685,3.413,,,6,Minke ,1,8.6209,0.95449,1854.2,0.0030913,28183000
0.32258,139.4,-4.8286,3.4206,,,6,Minke ,1,8.6209,0.95254,2390.7,0.0039596,28246000
0.58824,140.1,5.3206,3.6248,,,6,Minke ,1,8.6209,0.89385,11511,0.01602,29932000
0.41667,133.68,9.251,3.3486,,,6,Minke ,1,8.6209,0.94354,3832.5,0.0067657,27651000
0.41667,132.07,-24.625,3.9374,,,6,Minke ,1,8.6209,0.95081,4440.8,0.0048223,32513000
0.35714,153.77,-17.506,3.6892,,,6,Minke ,1,8.6209,0.95217,3135.9,0.0041398,30464000
0.33333,140.55,22.445,3.6879,,,6,Minke ,1,8.6209,0.95314,2788.5,0.0036849,30453000
0.37037,153.24,-11.403,3.3799,,,6,Minke ,1,8.6209,0.95024,2983.5,0.0051219,27910000
0.4,169.4,4.6245,3.5572,,,6,Minke ,1,8.6209,0.94981,3637.4,0.0053566,29374000
0.47619,161.63,-2.934,3.5378,,,6,Minke ,1,8.6209,0.92829,6018.9,0.0090099,29214000
0.5,151.62,8.9537,2.7525,,,6,Minke ,1,8.6209,0.87548,6639,0.021102,22729000
0.58824,153.54,2.4197,2.3573,,,6,Minke ,1,8.6209,0.82315,8391.9,0.042464,19466000
0.43478,165.12,-15.184,3.4557,,,6,Minke ,1,8.6209,0.94101,4409.5,0.0070822,28536000
0.2439,167.94,-3.5532,3.5258,,,6,Minke ,1,8.6209,0.95633,1565,0.0023667,29114000
0.5,167.7,2.5672,3.6699,,,6,Minke ,1,8.6209,0.92581,7018,0.0094112,30305000
0.29412,151.82,-2.9442,2.1148,,,6,Minke ,1,8.6209,0.92075,1453.2,0.010183,17463000
0.625,155.89,-1.2877,3.1477,,,6,Minke ,1,8.6209,0.86174,12154,0.02583,25993000
0.47619,172.56,-10.346,2.9288,,,6,Minke ,1,8.6209,0.89379,6092.3,0.016074,24185000
0.625,176.2,-7.9623,3.3905,,,6,Minke ,1,8.6209,0.87251,12886,0.021914,27997000
0.29412,169.01,-13.834,2.6948,,,6,Minke ,1,8.6209,0.95031,1501.8,0.0050863,22253000
0.5,182.17,-7.5559,3.1821,,,6,Minke ,1,8.6209,0.89947,7134.8,0.014678,26276000
0.4,183.59,-6.7739,3.0242,,,6,Minke ,1,8.6209,0.931,3562.5,0.0085377,24972000
0.41667,172.43,-17.299,3.2004,,,6,Minke ,1,8.6209,0.93354,4011.9,0.0081125,26427000
0.37037,174.7,-4.7778,3.2543,,,6,Minke ,1,8.6209,0.94961,2844,0.0054699,26872000
0.55556,175.17,8.6155,3.2674,,,6,Minke ,1,8.6209,0.88764,9404.5,0.017871,26981000
0.33333,176.61,-4.8377,3.0205,,,6,Minke ,1,8.6209,0.95013,2155.6,0.0051849,24942000
0.47619,177.75,2.5785,3.0506,,,6,Minke ,1,8.6209,0.90193,6107.6,0.01426,25191000
0.5,177.13,22.293,3.3067,,,6,Minke ,1,8.6209,0.90727,7096.9,0.01301,27306000
0.29412,168.49,8.9365,2.68,,,6,Minke ,1,8.6209,0.95022,1491.2,0.0051353,22130000
0.52632,167.67,22.253,3.3532,,,6,Minke ,1,8.6209,0.90178,8190.8,0.0144,27689000
0.29412,173.46,10.264,3.009,,,6,Minke ,1,8.6209,0.95203,1729.7,0.0042085,24847000
0.52632,171.85,23.588,2.9364,,,6,Minke ,1,8.6209,0.87844,7778.2,0.020363,24248000
0.45455,168.01,26.01,3.3235,,,6,Minke ,1,8.6209,0.92572,5247.6,0.0094754,27444000
0.55556,163.75,5.9142,3.4961,,,6,Minke ,1,8.6209,0.89916,9652.4,0.014972,28870000
0.55556,38.209,24.962,3.26,,,6,Minke ,1,8.6209,0.88756,9378.3,0.017942,26920000
