Species,Speed,Efficiency,Speed_BL,Reynolds Number
Orca,2,0.757,0.42,9130000
Orca,2.25,0.781,0.47,10300000
Orca,2.5,0.799,0.52,11400000
Orca,2.75,0.814,0.58,12500000
Orca,3,0.82,0.63,13700000
Orca,3.25,0.829,0.68,14800000
Orca,3.5,0.838,0.73,16000000
Orca,3.75,0.844,0.79,17100000
Orca,4,0.847,0.84,18300000
Orca,4.25,0.85,0.89,19400000
Orca,4.5,0.856,0.94,20500000
Orca,4.75,0.856,1,21700000
Orca,5,0.862,1.05,22800000
Orca,5.25,0.867,1.1,24000000
Orca,5.5,0.868,1.15,25100000
Orca,5.75,0.871,1.21,26200000
Orca,6,0.873,1.26,27400000
Orca,6.25,0.874,1.31,28500000
Orca,6.5,0.876,1.36,29700000
Orca,6.75,0.876,1.42,30800000
Orca,7,0.876,1.47,31900000
Orca,7.25,0.874,1.52,33100000
Orca,7.5,0.874,1.57,34200000
Orca,7.75,0.874,1.63,35400000
Orca,8,0.871,1.68,36500000
Beluga,1.5,0.826,0.42,5100000
Beluga,1.75,0.83,0.49,5950000
Beluga,2,0.832,0.56,6800000
Beluga,2.25,0.834,0.63,7650000
Beluga,2.5,0.835,0.7,8490000
Beluga,2.75,0.836,0.78,9340000
Beluga,3,0.838,0.85,10200000
Beluga,3.25,0.835,0.92,11000000
Beluga,3.5,0.834,0.99,11900000
Beluga,3.75,0.833,1.06,12700000
Beluga,4,0.832,1.13,13600000
Pseudorca,1.5,0.85,0.4,5390000
Pseudorca,1.75,0.862,0.47,6290000
Pseudorca,2,0.88,0.53,7190000
Pseudorca,2.25,0.886,0.6,8090000
Pseudorca,2.5,0.892,0.67,8990000
Pseudorca,2.75,0.898,0.73,9880000
Pseudorca,3,0.9,0.8,10800000
Pseudorca,3.25,0.901,0.87,11700000
Pseudorca,3.5,0.903,0.93,12600000
Pseudorca,3.75,0.904,1,13500000
Pseudorca,4,0.904,1.07,14400000
Pseudorca,4.25,0.904,1.13,15300000
Pseudorca,4.5,0.904,1.2,16200000
Pseudorca,4.75,0.904,1.27,17100000
Pseudorca,5,0.904,1.33,18000000
Pseudorca,5.25,0.903,1.4,18900000
Pseudorca,5.5,0.903,1.47,19800000
Pseudorca,5.75,0.903,1.53,20700000
Pseudorca,6,0.901,1.6,21600000
Pseudorca,6.25,0.9,1.67,22500000
Pseudorca,6.5,0.898,1.73,23400000
Pseudorca,6.75,0.897,1.8,24300000
Pseudorca,7,0.895,1.87,25200000
Pseudorca,7.25,0.892,1.93,26100000
Pseudorca,7.5,0.888,2,27000000
Tursiops,1,0.769,0.39,2470000
Tursiops,1.25,0.796,0.48,3090000
Tursiops,1.5,0.82,0.58,3710000
Tursiops,1.75,0.829,0.68,4320000
Tursiops,2,0.838,0.78,4940000
Tursiops,2.25,0.843,0.87,5560000
Tursiops,2.5,0.844,0.97,6180000
Tursiops,2.75,0.846,1.07,6790000
Tursiops,3,0.85,1.16,7410000
Tursiops,3.25,0.852,1.26,8030000
Tursiops,3.5,0.853,1.36,8650000
Tursiops,3.75,0.855,1.45,9260000
Tursiops,4,0.853,1.55,9880000
Tursiops,4.25,0.853,1.65,10500000
Tursiops,4.5,0.85,1.74,11100000
Tursiops,4.75,0.85,1.84,11700000
Tursiops,5,0.85,1.94,12400000
Tursiops,5.25,0.849,2.04,13000000
Tursiops,5.5,0.849,2.13,13600000
Tursiops,5.75,0.848,2.23,14200000
Tursiops,6,0.847,2.33,14800000
