BeatStart,BeatEnd,OsFreq,BeatStartFBD,BeatEndFBD,AvgDepth,AvgPitch,AvgSpeeds,MaxOrNormal,Eff,Thrust,DragCoeff,Reynolds,TotLength,WettedSurfArea,FlukeArea,Species,DeployID
609,631,0.454545454545455,1364,1386,2.92461246320263,-2.50061457589699,1.66608007029722,Routine,0.859112602868656,1164.06500092269,0.0219254106222999,10468855.6141281,6.56,22.96,0.611,Minke,bb190226-53
942,973,0.32258064516129,1697,1728,3.51250974333979,0.964613465262683,1.17680870471651,Routine,0.856407056138823,417.991560449584,0.0223412777913748,7394506.80358265,6.56,22.96,0.611,Minke,bb190226-53
973,1002,0.344827586206897,1728,1757,3.60450029990817,3.48241111663511,1.17748812634514,Routine,0.845631509845131,484.327458452703,0.0258420875938062,7398775.96630665,6.56,22.96,0.611,Minke,bb190226-53
1002,1027,0.4,1757,1782,3.52518027865715,4.80751739367324,1.18345197871119,Routine,0.824511262583289,661.068632961752,0.0347418341221774,7436249.98117373,6.56,22.96,0.611,Minke,bb190226-53
1027,1062,0.285714285714286,1782,1817,3.37465608379789,22.998142909707,1.19640250552728,Routine,0.87907103557889,318.842050961902,0.0162181668632981,7517624.93894534,6.56,22.96,0.611,Minke,bb190226-53
1062,1100,0.263157894736842,1817,1855,2.70576777577056,17.2712946351404,1.20745007652038,Routine,0.893729269016838,261.861596195135,0.012957534464832,7587042.62641159,6.56,22.96,0.611,Minke,bb190226-53
1100,1124,0.416666666666667,1855,1879,2.33051883446423,7.8490817857229,1.2111021884049,Routine,0.82081788682408,737.06058816328,0.0361425619987647,7609990.76239094,6.56,22.96,0.611,Minke,bb190226-53
1124,1166,0.238095238095238,1879,1921,1.66929329582252,14.7674934895023,1.28467943014816,Routine,0.92036695091179,199.226145713783,0.00818502732844375,8072315.19326816,6.56,22.96,0.611,Minke,bb190226-53
1334,1359,0.4,2089,2114,11.0257577462587,-23.4837298696729,2.05074656034247,Routine,0.912451351857463,939.803010242578,0.00949202707475548,12885917.0841442,6.56,22.96,0.611,Minke,bb190226-53
1377,1394,0.588235294117647,2132,2149,14.4498715346386,-13.3257047087674,2.91676089438765,Routine,0.907204214513215,2974.64512578577,0.0104421706868954,18327539.7195239,6.56,22.96,0.611,Minke,bb190226-53
1394,1412,0.555555555555556,2149,2167,14.9044560172437,-6.36060427723707,3.44072807019663,Routine,0.947692516432539,2314.36951280741,0.00494925419693937,21619900.5177106,6.56,22.96,0.611,Minke,bb190226-53
1440,1470,0.333333333333333,2195,2225,15.5135926936807,-1.63573333327531,2.48070341011024,Routine,0.9528098572175,615.088956718902,0.00350971224388387,15587561.6573977,6.56,22.96,0.611,Minke,bb190226-53
1470,1515,0.222222222222222,2225,2270,14.5798979205986,18.7384036706101,1.82313880987782,Routine,0.954105586139132,207.24089521684,0.00297902647650374,11455738.1157074,6.56,22.96,0.611,Minke,bb190226-53
1715,1742,0.37037037037037,2470,2497,3.14845907834429,-15.2032717417253,1.38635044766172,Routine,0.860024705967715,646.47434686622,0.0211344196693969,8711167.56385144,6.56,22.96,0.611,Minke,bb190226-53
1762,1788,0.384615384615385,2517,2543,5.37186433681098,-12.9766839771516,1.54440827706946,Routine,0.872765238710724,755.950106392054,0.0178757751356146,9704327.87124108,6.56,22.96,0.611,Minke,bb190226-53
1788,1815,0.37037037037037,2543,2570,6.70729556349764,-15.3065924208267,1.74748052888861,Routine,0.899146374571809,734.993561865066,0.0119978826756627,10980337.4229016,6.56,22.96,0.611,Minke,bb190226-53
1815,1837,0.454545454545455,2570,2592,8.17199757821868,-12.5251880318429,1.91583183998813,Routine,0.879296120352968,1294.33073063824,0.0160336062607384,12038177.0788526,6.56,22.96,0.611,Minke,bb190226-53
1837,1867,0.333333333333333,2592,2622,9.06149288370792,-6.08050188518025,2.05088096501792,Routine,0.945443097470984,509.803502739982,0.00514801216210739,12886761.6192697,6.56,22.96,0.611,Minke,bb190226-53
1867,1893,0.384615384615385,2622,2648,9.69886732586438,-3.70974284193892,2.1416947355271,Routine,0.927829490348633,819.79042584416,0.00726922725887834,13457392.2079097,6.56,22.96,0.611,Minke,bb190226-53
1974,2018,0.227272727272727,2729,2773,4.49064805788656,15.0538827031966,1.69623239291161,Routine,0.952849686041507,195.689305102037,0.00349276321903674,10658318.4841956,6.56,22.96,0.611,Minke,bb190226-53
2018,2041,0.434782608695652,2773,2796,2.36766461176019,6.63908685321175,1.82528019731792,Routine,0.879159491200154,1127.15125731848,0.0161455069319479,11469193.5770168,6.56,22.96,0.611,Minke,bb190226-53
2254,2307,0.188679245283019,3009,3062,3.95844350728394,-27.9813969809088,1.59469206404669,Routine,0.954476614200956,131.981615015957,0.00283492158986186,10020287.2989907,6.56,22.96,0.611,Minke,bb190226-53
2307,2338,0.32258064516129,3062,3093,7.70227571658456,-35.5291791818604,2.11031385280165,Routine,0.950891189304339,471.931328576267,0.00437417114073446,13260209.6497881,6.56,22.96,0.611,Minke,bb190226-53
2338,2354,0.625,3093,3109,10.6699049187897,-34.0767905360018,2.64646329749144,Routine,0.881832129270061,3342.78091839595,0.0157097184005026,16629118.0378772,6.56,22.96,0.611,Minke,bb190226-53
2354,2375,0.476190476190476,3109,3130,13.2748129497659,-20.9175867398518,3.10616618245659,Routine,0.950844935387291,1512.48397516107,0.00439617358621287,19517672.564095,6.56,22.96,0.611,Minke,bb190226-53
2375,2391,0.625,3130,3146,15.0312662121166,-10.0577230509761,3.70524283778114,Routine,0.937986390455714,3465.99957624265,0.00593521680641438,23281985.6473604,6.56,22.96,0.611,Minke,bb190226-53
2422,2438,0.625,3177,3193,14.0494961626872,-21.8490889441514,5.46415784059959,Routine,0.954885329724628,5019.7456063177,0.00268021795258849,34334171.8719668,6.56,22.96,0.611,Minke,bb190226-53
2585,2628,0.232558139534884,3340,3383,10.156747784982,-5.58275054723441,2.68628577977086,Routine,0.957775372574513,379.77756144314,0.00170659619981584,16879343.5970276,6.56,22.96,0.611,Minke,bb190226-53
2661,2693,0.3125,3416,3448,8.44229360656083,6.57985515212554,1.81395306926179,Routine,0.935354840736187,432.425418315868,0.00631089836193635,11398019.2857829,6.56,22.96,0.611,Minke,bb190226-53
2693,2726,0.303030303030303,3448,3481,6.94738163114942,9.57024795297831,1.71022221056762,Routine,0.930298297014232,398.747654540126,0.00694382275307814,10746223.8518425,6.56,22.96,0.611,Minke,bb190226-53
2726,2759,0.303030303030303,3481,3514,5.25330647375452,6.99679400788972,1.59519134429441,Routine,0.917589548976381,406.326978746728,0.00871957700897077,10023424.5388614,6.56,22.96,0.611,Minke,bb190226-53
2759,2793,0.294117647058824,3514,3548,3.9788813202897,5.39027900087339,1.52207672377769,Routine,0.915001382799942,370.812818160639,0.00916016330979444,9564006.9999824,6.56,22.96,0.611,Minke,bb190226-53
2793,2826,0.303030303030303,3548,3581,3.00574727971245,5.05422677375466,1.44121174826099,Routine,0.899348323666836,406.575254141021,0.0118308425066467,9055889.91244454,6.56,22.96,0.611,Minke,bb190226-53
2826,2849,0.434782608695652,3581,3604,2.3793221882077,4.00574547733958,1.45625656149294,Routine,0.842092424999578,956.764391528843,0.0269866781717872,9150424.37106678,6.56,22.96,0.611,Minke,bb190226-53
3175,3197,0.454545454545455,3930,3952,11.179872506429,-9.94922144135837,2.50540744058713,Routine,0.925377365714933,1365.73503709254,0.00756466106938769,15742790.0481337,6.56,22.96,0.611,Minke,bb190226-53
3197,3227,0.333333333333333,3952,3982,11.4098778311196,-17.335903846645,3.16542743369631,Routine,0.955828325225847,851.813088437967,0.00233940457589991,19890042.1121147,6.56,22.96,0.611,Minke,bb190226-53
3300,3322,0.454545454545455,4055,4077,12.7229955152671,13.3191501654077,2.60106219196387,Routine,0.932885271407088,1337.9890214974,0.00662305638972337,16343839.0606159,6.56,22.96,0.611,Minke,bb190226-53
3386,3414,0.357142857142857,4141,4169,4.62328738809838,11.6182571804771,2.27254217168719,Routine,0.950445424952651,618.227640293062,0.00458849936939181,14279575.3316743,6.56,22.96,0.611,Minke,bb190226-53
3505,3532,0.37037037037037,4260,4287,3.25958042226751,-27.9710733363796,1.36942145453317,Routine,0.859492775631924,636.619927661279,0.0215936947569461,8604793.81392487,6.56,22.96,0.611,Minke,bb190226-53
3532,3563,0.32258064516129,4287,4318,4.55556460397234,-19.2166745876161,1.22563445510669,Routine,0.863057945660521,430.472633361175,0.0203667050914056,7701304.6221263,6.56,22.96,0.611,Minke,bb190226-53
3610,3632,0.454545454545455,4365,4387,5.01619511065386,6.02768226907676,1.10796966941386,Routine,0.79218942657367,799.306908903532,0.0511903458203714,6961955.01087635,6.56,22.96,0.611,Minke,bb190226-53
3632,3656,0.416666666666667,4387,4411,4.55533098849721,5.63722645210725,1.15919275995596,Routine,0.812574326245983,708.705044873421,0.0396329734452658,7283816.57596849,6.56,22.96,0.611,Minke,bb190226-53
3656,3676,0.5,4411,4431,3.93729935734238,0.131605252223462,1.21947368555835,Routine,0.792231336924007,1064.68381766983,0.0511400873136311,7662593.27324022,6.56,22.96,0.611,Minke,bb190226-53
3676,3697,0.476190476190476,4431,4452,3.34612791140681,1.21416887299451,1.27898447239592,Routine,0.807379935561777,1019.30775485216,0.0424392425899585,8036530.78440349,6.56,22.96,0.611,Minke,bb190226-53
3697,3723,0.384615384615385,4452,4478,2.65732030673255,4.74847768965537,1.41030350019871,Routine,0.859129481645914,705.560630100033,0.0219106216723705,8861677.16599953,6.56,22.96,0.611,Minke,bb190226-53
3723,3744,0.476190476190476,4478,4499,1.78596122122968,8.00191184367764,1.61575521519876,Routine,0.845314637438519,1265.35907494256,0.0261303481982231,10152638.133816,6.56,22.96,0.611,Minke,bb190226-53
3919,3952,0.303030303030303,4674,4707,4.21368767873869,-16.1464946195269,1.09430336643829,Routine,0.85594999885138,342.126889323394,0.0227421811689435,6876082.45578084,6.56,22.96,0.611,Minke,bb190226-53
3952,3977,0.4,4707,4732,4.50526926732377,-13.0124779901452,1.13000641227137,Routine,0.816190718541956,634.154548295021,0.0382833998907097,7100423.43342933,6.56,22.96,0.611,Minke,bb190226-53
3977,4001,0.416666666666667,4732,4756,4.55861998969292,-12.6079326498476,1.23715474615146,Routine,0.824720170904422,750.559196092014,0.034527965228832,7773692.65780994,6.56,22.96,0.611,Minke,bb190226-53
4001,4023,0.454545454545455,4756,4778,4.58617454595598,-14.732378588325,1.37349987890576,Routine,0.825743110576865,996.267557518889,0.03349255071876,8630420.69504001,6.56,22.96,0.611,Minke,bb190226-53
4023,4043,0.5,4778,4798,4.79587469702013,-12.1254727654442,1.47536901760577,Routine,0.821716405771088,1298.17994467121,0.0352120273116999,9270517.9650324,6.56,22.96,0.611,Minke,bb190226-53
4043,4073,0.333333333333333,4798,4828,4.75517426163299,-9.75605124288,1.55015333942423,Routine,0.896403947647756,533.683971216913,0.0124801064753127,9740427.11362354,6.56,22.96,0.611,Minke,bb190226-53
4073,4099,0.384615384615385,4828,4854,4.76932086104897,-7.64314932621844,1.66319628196612,Routine,0.884963450075217,789.906968242735,0.0149555896509042,10450735.2583312,6.56,22.96,0.611,Minke,bb190226-53
4099,4120,0.476190476190476,4854,4875,4.81567175257775,-0.693753028307279,1.76633643271091,Routine,0.859632020579294,1358.48025272569,0.0214729227228298,11098818.9641605,6.56,22.96,0.611,Minke,bb190226-53
4171,4200,0.344827586206897,4926,4955,1.91817906954963,3.83798777286265,1.96827594338767,Routine,0.930517601249968,595.967407450038,0.00680804892321604,12367710.9086428,6.56,22.96,0.611,Minke,bb190226-53
4353,4386,0.303030303030303,5108,5141,6.59670830102195,-5.25360865565686,1.17565705312628,Routine,0.866462959305857,362.310540774569,0.0194221417830371,7387270.3721345,6.56,22.96,0.611,Minke,bb190226-53
4422,4445,0.434782608695652,5177,5200,6.49640240917716,-7.31444354981016,1.11532400092633,Routine,0.801454570130565,736.773131912107,0.0462582019638155,7008166.13608884,6.56,22.96,0.611,Minke,bb190226-53
4461,4484,0.434782608695652,5216,5239,6.17764002359709,-2.96380298554048,1.2690241888391,Routine,0.821066916642903,841.864746679582,0.0358831644036096,7973945.09462119,6.56,22.96,0.611,Minke,bb190226-53
4484,4505,0.476190476190476,5239,5260,5.93494459459322,-0.94876774639622,1.46084912390302,Routine,0.829351241146258,1157.15797494536,0.0323321564354388,9179281.85134466,6.56,22.96,0.611,Minke,bb190226-53
4505,4527,0.454545454545455,5260,5282,5.59219196538318,0.428960622321451,1.66477745866286,Routine,0.856583226707241,1175.23803930419,0.0221878586962183,10460670.6214831,6.56,22.96,0.611,Minke,bb190226-53
4527,4552,0.4,5282,5307,5.07263332178028,0.694351735119699,1.86320414357817,Routine,0.896447153798756,924.067995398855,0.0124445935510493,11707489.6378092,6.56,22.96,0.611,Minke,bb190226-53
4552,4574,0.454545454545455,5307,5329,4.42147607731436,-2.85011477959444,2.10628812284061,Routine,0.896308304101749,1347.24397025535,0.0125588832749681,13234913.8753203,6.56,22.96,0.611,Minke,bb190226-53
4574,4595,0.476190476190476,5329,5350,3.99193733253704,-5.27692576478924,2.42925341246113,Routine,0.912338581381159,1575.81478366865,0.00957513306542245,15264274.3158477,6.56,22.96,0.611,Minke,bb190226-53
4595,4613,0.555555555555556,5350,5368,3.75921077800959,-6.13973281920383,2.75653534998532,Routine,0.907219804060408,2507.96209744906,0.0104300978285773,17320758.5209805,6.56,22.96,0.611,Minke,bb190226-53
4613,4635,0.454545454545455,5368,5390,3.55428959936057,-7.0960223703211,3.03846889922383,Routine,0.95122966641019,1357.33277561498,0.00421482999312472,19092294.9989543,6.56,22.96,0.611,Minke,bb190226-53
4635,4651,0.625,5390,5406,3.48069074960247,-11.9992793735709,3.21801499890131,Routine,0.912547792954976,3604.23389533905,0.00942121438659781,20220477.3877324,6.56,22.96,0.611,Minke,bb190226-53
4699,4724,0.4,5454,5479,5.80111254010814,-12.8821655815222,3.18032829793809,Routine,0.953702373286958,1159.39426460272,0.00313959333915313,19983672.0636723,6.56,22.96,0.611,Minke,bb190226-53
4724,4752,0.357142857142857,5479,5507,6.83715686779776,-3.64891837312797,3.17732433856912,Routine,0.955090796544667,958.903315888819,0.00260404379439951,19964796.6101661,6.56,22.96,0.611,Minke,bb190226-53
5010,5037,0.37037037037037,5765,5792,3.93253530385362,-2.57682638644198,1.36342412425343,Routine,0.859301507177954,633.137628565212,0.0217602216571374,8567109.43975333,6.56,22.96,0.611,Minke,bb190226-53
5037,5058,0.476190476190476,5792,5813,3.45322329438918,-3.44128005522213,1.32161788406156,Routine,0.812422931342921,1054.65691892192,0.0397971156807283,8304418.88835617,6.56,22.96,0.611,Minke,bb190226-53
5058,5077,0.526315789473684,5813,5832,3.13698621339346,-5.13269707990817,1.34611194073832,Routine,0.798351848890114,1311.41962607132,0.0468334617843183,8458327.90348985,6.56,22.96,0.611,Minke,bb190226-53
5077,5099,0.454545454545455,5832,5854,2.86010827653203,-5.06714172205613,1.38850058389281,Routine,0.82910881855098,1001.02126953265,0.0325734093565006,8724677.99840694,6.56,22.96,0.611,Minke,bb190226-53
5099,5125,0.384615384615385,5854,5880,2.51276773841937,-3.92389835281057,1.4441888298642,Routine,0.862560958195264,718.965045271414,0.0207918887834126,9074596.47884021,6.56,22.96,0.611,Minke,bb190226-53
5125,5152,0.37037037037037,5880,5907,2.1443029690125,-4.84331870856239,1.55548425477877,Routine,0.879173155163868,697.089946242706,0.0161342979602637,9773924.05301603,6.56,22.96,0.611,Minke,bb190226-53
