BeatStart,BeatEnd,OsFreq,BeatStartFBD,BeatEndFBD,AvgDepth,AvgPitch,AvgSpeeds,MaxOrNormal,Eff,Thrust,DragCoeff,Reynolds,TotLength,WettedSurfArea,FlukeArea,Species,DeployID
705,747,0.238095238095238,3528,3570,3.49216087642865,-4.17640831948959,1.36414800511789,Routine,0.867946772499393,1441.48205291121,0.0325172996948548,13027352.1178403,9.97,34.92531122,1.416,Bryde's,be180423-41
810,875,0.153846153846154,3633,3698,2.58090223869107,9.77285153529585,1.27698400202969,Routine,0.925371409891028,450.030792508369,0.0123758652474221,12194952.586433,9.97,34.92531122,1.416,Bryde's,be180423-41
967,1012,0.222222222222222,3790,3835,1.94231954092693,23.7717407415905,1.18372530341119,Routine,0.855413089054297,1115.88962857034,0.0385263759528599,11304349.8802773,9.97,34.92531122,1.416,Bryde's,be180423-41
1855,1896,0.24390243902439,4678,4719,7.54784388075025,-15.145212866596,1.06407730253617,Routine,0.824828887524925,1236.62392735887,0.0587770544022701,10161734.3929938,9.97,34.92531122,1.416,Bryde's,be180423-41
1896,1939,0.232558139534884,4719,4762,7.67677419780337,-15.9988845317532,1.12127816677728,Routine,0.84087388719476,1172.6895335666,0.04763571218267,10707991.6884765,9.97,34.92531122,1.416,Bryde's,be180423-41
2018,2055,0.27027027027027,4841,4878,7.90778705165997,-8.73849043172809,1.07336221050876,Routine,0.811144590923725,1530.52146453263,0.0708745365458317,10250403.4854141,9.97,34.92531122,1.416,Bryde's,be180423-41
2055,2095,0.25,4878,4918,7.92198634257153,-10.8689406099788,1.10256136552765,Routine,0.828215126187741,1338.38329771494,0.0571823379305597,10529249.8221366,9.97,34.92531122,1.416,Bryde's,be180423-41
2095,2143,0.208333333333333,4918,4966,8.09759347445248,-7.79027996361758,1.09043541074398,Routine,0.854644134229442,899.34095897944,0.0397204577692632,10413449.2769325,9.97,34.92531122,1.416,Bryde's,be180423-41
2143,2190,0.212765957446809,4966,5013,8.0774901688925,-4.87037982245044,1.06268298301132,Routine,0.847574605434086,921.144633859001,0.043954805109467,10148418.9086425,9.97,34.92531122,1.416,Bryde's,be180423-41
2190,2228,0.263157894736842,5013,5051,7.79924688943146,-2.82409381799665,1.02591915671042,Routine,0.809991870405855,1379.65427295884,0.073167895393524,9797331.41034759,9.97,34.92531122,1.416,Bryde's,be180423-41
2299,2343,0.227272727272727,5122,5166,6.26049443886849,-20.9367224492594,1.06845419565324,Routine,0.836855195411396,1070.21496638589,0.0502450178076118,10203532.8837766,9.97,34.92531122,1.416,Bryde's,be180423-41
2343,2394,0.196078431372549,5166,5217,6.1086567305187,-20.2279763072274,1.04959131847543,Routine,0.858046732539433,763.37358591328,0.0378064718062908,10023396.0203066,9.97,34.92531122,1.416,Bryde's,be180423-41
2394,2452,0.172413793103448,5217,5275,5.98316895782274,-9.70637818974301,1.07787913304812,Routine,0.880523723803081,583.20045142612,0.0266684250960538,10293539.2303542,9.97,34.92531122,1.416,Bryde's,be180423-41
2452,2503,0.196078431372549,5275,5326,5.8492959285197,5.29585827377443,1.06807466548733,Routine,0.858784351822507,780.356897989033,0.0366756773235711,10199908.4433991,9.97,34.92531122,1.416,Bryde's,be180423-41
2579,2622,0.232558139534884,5402,5445,5.93849006719764,42.4109584236119,1.02975911155239,Routine,0.828435117849777,1082.83501146927,0.0567864958276364,9834002.24346483,9.97,34.92531122,1.416,Bryde's,be180423-41
2622,2669,0.212765957446809,5445,5492,5.44602217452201,48.7781101277423,1.08204982213342,Routine,0.848422784992806,942.376796077181,0.042596363155817,10333368.5121362,9.97,34.92531122,1.416,Bryde's,be180423-41
2669,2710,0.24390243902439,5492,5533,4.80017036122437,49.9670743871666,1.12874358635125,Routine,0.836039571095504,1296.71515157027,0.0516355026941449,10779285.015251,9.97,34.92531122,1.416,Bryde's,be180423-41
2710,2763,0.188679245283019,5533,5586,3.95237083418006,42.3576932518451,1.14946011192935,Routine,0.877336729790719,748.758268653196,0.0282325188489138,10977123.8658387,9.97,34.92531122,1.416,Bryde's,be180423-41
2763,2811,0.208333333333333,5586,5634,3.86180345189655,22.2390634309024,1.19442053177359,Routine,0.867971873263693,966.486266889398,0.0324798202925445,11406487.262244,9.97,34.92531122,1.416,Bryde's,be180423-41
2811,2861,0.2,5634,5684,5.44173914438986,14.2407281752759,1.16545372690986,Routine,0.871014262482843,863.07513942706,0.0312214603560931,11129859.8249916,9.97,34.92531122,1.416,Bryde's,be180423-41
2861,2909,0.208333333333333,5684,5732,6.84632436198752,14.3862304551496,1.1453116398945,Routine,0.861615737617916,937.008043267181,0.0357159335436536,10937506.7526323,9.97,34.92531122,1.416,Bryde's,be180423-41
2909,2960,0.196078431372549,5732,5783,7.29609116103147,8.8618297245974,1.21417506797434,Routine,0.88021769104759,847.563648318295,0.0271155301677234,11595139.2985672,9.97,34.92531122,1.416,Bryde's,be180423-41
3248,3285,0.27027027027027,6071,6108,3.38537115897263,-3.05864290435936,1.00269500717653,Routine,0.80131306154759,1424.152032393,0.080898320891192,9575545.23136971,9.97,34.92531122,1.416,Bryde's,be180423-41
3285,3327,0.238095238095238,6108,6150,2.17572680641107,3.71079114919108,1.08404363321668,Routine,0.832523420231691,1192.71792807024,0.0536151059918298,10352409.0260252,9.97,34.92531122,1.416,Bryde's,be180423-41
3663,3712,0.204081632653061,6486,6535,3.75765150920001,-6.67082686154356,1.01334932079471,Routine,0.84481490280738,814.73591837195,0.0448362241456409,9677291.88536715,9.97,34.92531122,1.416,Bryde's,be180423-41
3712,3741,0.344827586206897,6535,6564,3.9966969992942,-1.61607092672409,1.02262753414681,Routine,0.767361908400686,2288.93449556402,0.122566174001745,9765897.04544412,9.97,34.92531122,1.416,Bryde's,be180423-41
3741,3777,0.277777777777778,6564,6600,3.82487770627889,-3.04939908125115,1.02564757769299,Routine,0.800997458510493,1536.65460891181,0.0815589259114766,9794737.88275774,9.97,34.92531122,1.416,Bryde's,be180423-41
3777,3841,0.15625,6600,6664,3.8735505898287,2.35157878790985,1.02153135756848,Routine,0.888732213566919,442.318236463582,0.0237612590222618,9755428.76911665,9.97,34.92531122,1.416,Bryde's,be180423-41
3906,3957,0.196078431372549,6729,6780,3.32546996641018,4.48618629281422,1.0301697028374,Routine,0.854810231521162,753.358645482957,0.0394607347867687,9837923.31157942,9.97,34.92531122,1.416,Bryde's,be180423-41
4861,4904,0.232558139534884,7684,7727,7.89455290698659,-6.38192428069858,1.18668696417307,Routine,0.851052512917533,1223.69354626031,0.0419328002682708,11332633.1731854,9.97,34.92531122,1.416,Bryde's,be180423-41
5157,5202,0.222222222222222,7980,8025,10.7676669212356,-2.62734669772592,1.08836498800706,Routine,0.844148072236065,1033.79118501485,0.0459196795258526,10393677.1364276,9.97,34.92531122,1.416,Bryde's,be180423-41
5298,5354,0.178571428571429,8121,8177,13.711434831642,5.82991546724056,1.07335758212735,Routine,0.874466007775272,631.461306177825,0.0292417371556782,10250359.2852583,9.97,34.92531122,1.416,Bryde's,be180423-41
5354,5403,0.204081632653061,8177,8226,13.5920506967534,23.0654019542917,1.10530900424613,Routine,0.858543011836608,873.521018090298,0.0370434942444948,10555489.2455306,9.97,34.92531122,1.416,Bryde's,be180423-41
5403,5456,0.188679245283019,8226,8279,11.9428613807593,31.3701297050666,1.17040321592638,Routine,0.880273969729116,756.852674296485,0.0270330184849616,11177126.4969215,9.97,34.92531122,1.416,Bryde's,be180423-41
5484,5534,0.2,8307,8357,10.2394582062101,34.8505080781566,1.06020182742328,Routine,0.85520177702068,808.525688974043,0.0388524033351667,10124724.348094,9.97,34.92531122,1.416,Bryde's,be180423-41
6224,6262,0.263157894736842,9047,9085,36.0300854689828,-23.7077900643115,1.26341379528955,Routine,0.840659785897422,1690.04190861817,0.0479899548077004,12065359.7117211,9.97,34.92531122,1.416,Bryde's,be180423-41
6262,6302,0.25,9085,9125,36.1496819405637,-9.95967251953104,1.32057956966249,Routine,0.855047281723665,1572.133668033,0.0390917809809423,12611281.9056849,9.97,34.92531122,1.416,Bryde's,be180423-41
6302,6338,0.277777777777778,9125,9161,34.8354904028245,5.43148783199484,1.37195164628139,Routine,0.844557134781665,2040.68377242111,0.0452531699237321,13101875.3960014,9.97,34.92531122,1.416,Bryde's,be180423-41
6338,6373,0.285714285714286,9161,9196,32.1400330596227,14.6459303098698,1.37354524878616,Routine,0.840727091418004,2166.60130531942,0.047878418702134,13117093.9946341,9.97,34.92531122,1.416,Bryde's,be180423-41
6373,6408,0.285714285714286,9196,9231,28.509546386233,19.0052450280224,1.37229507272837,Routine,0.840681348920391,2164.11077072838,0.0479542038812532,13105155.0527795,9.97,34.92531122,1.416,Bryde's,be180423-41
6408,6442,0.294117647058824,9231,9265,24.6049023128328,19.1550710292076,1.34045009353373,Routine,0.832576672751045,2251.11426942974,0.0535223660231561,12801041.6020414,9.97,34.92531122,1.416,Bryde's,be180423-41
6442,6477,0.285714285714286,9265,9300,20.9820577142091,14.9517261430359,1.30186885179048,Routine,0.832565093910341,2063.05509289026,0.0535425224835501,12432598.1344359,9.97,34.92531122,1.416,Bryde's,be180423-41
7722,7782,0.166666666666667,10545,10605,2.63710022462681,-3.94123358396447,1.13253862881447,Routine,0.894272106037631,548.824910038211,0.021635376337869,10815526.9437551,9.97,34.92531122,1.416,Bryde's,be180423-41
7782,7832,0.2,10605,10655,2.33380267180019,-7.16837377236439,1.13509362988739,Routine,0.865270225827908,853.682054896111,0.0334264922025463,10839926.7145376,9.97,34.92531122,1.416,Bryde's,be180423-41
7832,7916,0.119047619047619,10655,10739,2.92640651870039,-4.97759510523379,1.06744532570313,Routine,0.940127479267889,200.704146182903,0.00944950666662007,10193898.3690232,9.97,34.92531122,1.416,Bryde's,be180423-41
7953,8007,0.185185185185185,10776,10830,2.67370460372986,5.76725448855603,1.06764420113525,Routine,0.868182607913025,683.578357993686,0.0321660978513367,10195797.5913012,9.97,34.92531122,1.416,Bryde's,be180423-41
