BeatStart,BeatEnd,OsFreq,BeatStartFBD,BeatEndFBD,AvgDepth,AvgPitch,AvgSpeeds,MaxOrNormal,Eff,Thrust,DragCoeff,Reynolds,TotLength,WettedSurfArea,FlukeArea,Species,DeployID
50,72,0.454545454545455,3027,3049,6.81554621547325,-5.08519490193506,4.97344839465278,Routine,0.879183698222925,120116.127293927,0.0181821041932239,87988114.7981196,18.47,107.4024843,2.435,Fin,bp170907-41b
72,97,0.4,3049,3074,11.5813751940923,-13.8429155379839,4.97005611795996,Routine,0.897347261793438,88204.5848493059,0.0133789783646241,87928100.0945598,18.47,107.4024843,2.435,Fin,bp170907-41b
97,120,0.434782608695652,3074,3097,18.3450069390407,-26.7919799123457,5.04617898066653,Routine,0.887342087341616,109328.144217464,0.0158438124976952,89274833.1158149,18.47,107.4024843,2.435,Fin,bp170907-41b
120,144,0.416666666666667,3097,3121,27.4688584382035,-32.7037239669176,5.21242765098862,Routine,0.897491962103707,100574.25233092,0.0132245944113549,92216033.2507278,18.47,107.4024843,2.435,Fin,bp170907-41b
144,169,0.4,3121,3146,38.3955010228973,-33.5834699970273,5.58051477578542,Routine,0.914385241736157,91813.9452440141,0.00983788022852083,98728072.709537,18.47,107.4024843,2.435,Fin,bp170907-41b
169,193,0.416666666666667,3146,3170,49.6011303101628,-34.2019390223135,5.95967303704038,Routine,0.916912777706444,105230.933926814,0.00925745888208781,105435977.963732,18.47,107.4024843,2.435,Fin,bp170907-41b
193,219,0.384615384615385,3170,3196,61.2131791224,-35.8882448617003,6.21241695200363,Routine,0.9387294489611,80487.8372697966,0.00625121071446844,109907414.850103,18.47,107.4024843,2.435,Fin,bp170907-41b
219,243,0.416666666666667,3196,3220,73.318407364959,-38.0426398574096,6.29109432582734,Routine,0.926680401116131,104485.18659649,0.00781433095624231,111299341.185853,18.47,107.4024843,2.435,Fin,bp170907-41b
243,271,0.357142857142857,3220,3248,85.9224983851218,-34.8326372653507,6.36083732784278,Routine,0.955375556309182,61177.2438251023,0.00442652283109072,112533204.449479,18.47,107.4024843,2.435,Fin,bp170907-41b
271,298,0.37037037037037,3248,3275,98.8481245387993,-36.3883605843825,6.54718932202899,Routine,0.955289888613419,67540.721064789,0.00448143047640256,115830063.963482,18.47,107.4024843,2.435,Fin,bp170907-41b
486,509,0.434782608695652,3463,3486,181.223539251225,14.0319508113584,5.64532802099579,Routine,0.904376481753301,114888.493135496,0.0118911718928838,99874720.8312186,18.47,107.4024843,2.435,Fin,bp170907-41b
871,922,0.196078431372549,3848,3899,190.198159919625,-16.9518788815061,3.16957068834785,Routine,0.93873958993328,10675.4801243982,0.00624312109960766,56074684.4959624,18.47,107.4024843,2.435,Fin,bp170907-41b
922,962,0.25,3899,3939,194.490350617668,-15.6485329944143,3.46591413421346,Routine,0.912005984460141,22627.8561866224,0.0101205864989787,61317465.5736807,18.47,107.4024843,2.435,Fin,bp170907-41b
962,997,0.285714285714286,3939,3974,197.869827838238,-9.01522056675343,3.82553160939173,Routine,0.907001071107075,33426.5322004511,0.011118126416863,67679663.6259245,18.47,107.4024843,2.435,Fin,bp170907-41b
997,1030,0.303030303030303,3974,4007,199.247950645645,-2.69876567079359,4.01582035206998,Routine,0.906823367723347,39351.9995395759,0.0113151325010281,71046170.4049162,18.47,107.4024843,2.435,Fin,bp170907-41b
1030,1063,0.303030303030303,4007,4040,200.232077965759,-2.62357018140164,3.89926240646394,Routine,0.902162796107916,39013.3713380128,0.0122541096521259,68984077.2484569,18.47,107.4024843,2.435,Fin,bp170907-41b
1063,1107,0.227272727272727,4040,4084,201.713862861674,-4.54253807735363,3.7737445503837,Routine,0.94347004276489,16417.7272457841,0.00568867612017371,66763469.2007537,18.47,107.4024843,2.435,Fin,bp170907-41b
1107,1136,0.344827586206897,4084,4113,203.826412120803,-8.90704276097857,3.81427301611553,Routine,0.881659083739524,52547.4206750642,0.0176332248429636,67480481.4249557,18.47,107.4024843,2.435,Fin,bp170907-41b
1136,1172,0.277777777777778,4113,4149,205.581061105606,-3.63793416960575,4.04155426429328,Routine,0.921731358061037,30688.1283934158,0.00865647000112383,71501443.7370659,18.47,107.4024843,2.435,Fin,bp170907-41b
1172,1209,0.27027027027027,4149,4186,205.963008302412,0.772837377584274,4.1807339984728,Routine,0.931484132145978,28231.1069200046,0.0071942573117964,73963751.8695332,18.47,107.4024843,2.435,Fin,bp170907-41b
1231,1275,0.227272727272727,4208,4252,206.174151850966,-3.72283706817018,3.87073352549627,Routine,0.948207541332816,16129.9192593509,0.0051792638967342,68479356.5286554,18.47,107.4024843,2.435,Fin,bp170907-41b
1275,1316,0.24390243902439,4252,4293,206.82992268679,-2.62445001082825,3.88469491306716,Routine,0.936273956250769,20622.1450329882,0.00655056491572345,68726355.406466,18.47,107.4024843,2.435,Fin,bp170907-41b
1316,1349,0.303030303030303,4293,4326,205.977941706322,1.24748136229697,4.14235154594846,Routine,0.911773754605432,39567.1871771,0.0103659709365581,73284705.9901035,18.47,107.4024843,2.435,Fin,bp170907-41b
1349,1380,0.32258064516129,4326,4357,204.704072952939,5.02805455284427,4.4984630207378,Routine,0.914378228628425,48128.0659755927,0.00984513360798538,79584877.3879571,18.47,107.4024843,2.435,Fin,bp170907-41b
1380,1409,0.344827586206897,4357,4386,203.740879995885,6.12526073437527,4.75239701502477,Routine,0.911908940760462,58924.0675381438,0.010222808937063,84077368.6470379,18.47,107.4024843,2.435,Fin,bp170907-41b
1409,1434,0.4,4386,4411,202.40279975647,10.7276669956916,5.03000229056748,Routine,0.899664042780183,88350.1377557717,0.0129276132538382,88988642.0563039,18.47,107.4024843,2.435,Fin,bp170907-41b
1434,1461,0.37037037037037,4411,4438,199.399986640898,24.8106751805514,5.16219187989354,Routine,0.914369740386204,72794.0044235986,0.00985391585359486,91327283.5456261,18.47,107.4024843,2.435,Fin,bp170907-41b
1461,1488,0.37037037037037,4438,4465,192.240023600446,36.9135108744216,5.09490941938897,Routine,0.911878177260809,72835.3995608598,0.0102553095528622,90136951.1265462,18.47,107.4024843,2.435,Fin,bp170907-41b
1488,1516,0.357142857142857,4465,4493,181.317873034311,49.3698279435038,4.99093978730648,Routine,0.914412237239039,65493.7019216056,0.00980998213150497,88297565.0110639,18.47,107.4024843,2.435,Fin,bp170907-41b
1516,1547,0.32258064516129,4493,4524,167.887451704952,48.789154342646,4.94731769087375,Routine,0.929089810369872,48463.5166176061,0.00745282965244336,87525821.6000365,18.47,107.4024843,2.435,Fin,bp170907-41b
1614,1646,0.3125,4591,4623,128.381751166092,43.941335523437,4.32645088188945,Routine,0.911983505878065,44116.2402059091,0.010144223957723,76541712.4410902,18.47,107.4024843,2.435,Fin,bp170907-41b
1646,1677,0.32258064516129,4623,4654,117.895196752181,44.1085759254279,4.30048855737547,Routine,0.90692657995303,47838.3342256785,0.0112005236656473,76082398.1367097,18.47,107.4024843,2.435,Fin,bp170907-41b
1677,1709,0.3125,4654,4686,107.244562075197,42.9331948071904,4.39111128049369,Routine,0.914500544198753,44190.3962852936,0.00971896985596877,77685656.4662053,18.47,107.4024843,2.435,Fin,bp170907-41b
1709,1740,0.32258064516129,4686,4717,96.6536591114355,40.8573087124688,4.48642887780693,Routine,0.914334857530519,47960.6324404124,0.00989004363769814,79371974.4953008,18.47,107.4024843,2.435,Fin,bp170907-41b
1740,1774,0.294117647058824,4717,4751,85.9122628807469,38.3060738213816,4.55986686994697,Routine,0.93151538905061,36491.0402413011,0.00716713232778599,80671207.9386212,18.47,107.4024843,2.435,Fin,bp170907-41b
1774,1799,0.4,4751,4776,76.258403693338,37.1530508689838,4.74963814890307,Routine,0.892098746250677,85436.1178093496,0.0148482613131659,84028559.9714939,18.47,107.4024843,2.435,Fin,bp170907-41b
1799,1826,0.37037037037037,4776,4803,67.8053688327192,25.8794404325779,5.14017266802455,Routine,0.914300435589867,72390.382587708,0.00992575192213717,90937729.0980972,18.47,107.4024843,2.435,Fin,bp170907-41b
1826,1856,0.333333333333333,4803,4833,62.3171987558495,10.4471758689066,5.32469329922345,Routine,0.936313169033182,52846.134666615,0.00651846147263702,94202188.924001,18.47,107.4024843,2.435,Fin,bp170907-41b
2149,2213,0.15625,5126,5190,5.23730428235828,12.2257309582868,4.13728703785141,Routine,0.95910784049803,8943.41084739954,0.0023516457094068,73195106.8861259,18.47,107.4024843,2.435,Fin,bp170907-41b
2314,2354,0.25,5291,5331,2.42262693591849,2.08346862895153,3.94651495288401,Routine,0.933989131393376,22447.6921481825,0.00680058242023236,69820049.0227659,18.47,107.4024843,2.435,Fin,bp170907-41b
2735,2803,0.147058823529412,5712,5780,2.43628172518626,-0.0138259034955926,3.7378465950256,Routine,0.958787403267957,7026.71315111751,0.00250555230243975,66128377.9790449,18.47,107.4024843,2.435,Fin,bp170907-41b
2923,2963,0.25,5900,5940,2.16558878799111,2.59822598579445,3.56907768691456,Routine,0.916883199794415,22674.0861111956,0.00928704300645363,63142590.8786513,18.47,107.4024843,2.435,Fin,bp170907-41b
2963,2996,0.303030303030303,5940,5973,0.722737242236478,9.05857554311982,3.12991802892061,Routine,0.873011094383724,33826.5511633385,0.0205435029303251,55373166.6610764,18.47,107.4024843,2.435,Fin,bp170907-41b
3252,3310,0.172413793103448,6229,6287,2.9071012772943,2.77303907046463,3.45520533925393,Routine,0.956643456776953,8090.24373463473,0.00365220955190202,61128010.1686015,18.47,107.4024843,2.435,Fin,bp170907-41b
3310,3344,0.294117647058824,6287,6321,1.03663062403943,7.80556582323204,3.33940619612135,Routine,0.88462034225209,33311.8227246957,0.0166573656574274,59079341.4198863,18.47,107.4024843,2.435,Fin,bp170907-41b
3428,3476,0.208333333333333,6405,6453,2.97532372166137,3.98977930439111,3.3297598427115,Routine,0.936320484406271,12911.2860512972,0.00651248052561593,58908682.2747906,18.47,107.4024843,2.435,Fin,bp170907-41b
3476,3511,0.285714285714286,6453,6488,1.07495926475371,13.1797293908796,3.11545804041091,Routine,0.879082645371578,29699.5185202136,0.0182893957739181,55117346.7494152,18.47,107.4024843,2.435,Fin,bp170907-41b
3551,3591,0.25,6528,6568,7.15887609505032,-42.2474062930905,3.67383038764675,Routine,0.921882121628428,22665.4515818561,0.00851182603188052,64995830.7086547,18.47,107.4024843,2.435,Fin,bp170907-41b
