BeatStart,BeatEnd,OsFreq,BeatStartFBD,BeatEndFBD,AvgDepth,AvgPitch,AvgSpeeds,MaxOrNormal,Eff,Thrust,DragCoeff,Reynolds,TotLength,WettedSurfArea,FlukeArea,Species,DeployID
271,317,0.217391304347826,14152,14198,21.2473668466706,-13.7844487351701,2.5514603772894,Routine,0.882114385665757,19074.2397022327,0.020432968296821,47241119.8208852,19.33,112.4033579,3.127,Fin,bp180828-44
317,365,0.208333333333333,14198,14246,22.6530919476463,-4.76331967696234,2.65311585748528,Routine,0.893018644542421,17711.5639097882,0.0168748132284714,49123304.1429027,19.33,112.4033579,3.127,Fin,bp180828-44
365,411,0.217391304347826,14246,14292,22.3915784263857,1.3236100560048,2.6678336007098,Routine,0.887713609307136,19694.3759594378,0.0184551134895222,49395807.9518395,19.33,112.4033579,3.127,Fin,bp180828-44
411,452,0.24390243902439,14292,14333,20.9097343651119,6.28558855009261,2.73359874182774,Routine,0.873867842956313,26314.0345431641,0.0229210154043651,50613470.9574044,19.33,112.4033579,3.127,Fin,bp180828-44
639,686,0.212765957446809,14520,14567,10.8733574759612,-0.0409548397680088,2.64558379967571,Lunge-Associated,0.890218467464626,18535.7877457232,0.0178113644640197,48983845.6395895,19.33,112.4033579,3.127,Fin,bp180828-44
3202,3257,0.181818181818182,17083,17138,84.0808517816013,-3.51410614128568,2.21030488616602,Routine,0.885321273457419,11528.8645830372,0.0189968107862144,40924514.7984571,19.33,112.4033579,3.127,Fin,bp180828-44
3257,3302,0.222222222222222,17138,17183,83.3780935155243,9.00499951700476,2.25273900308807,Routine,0.861184640656033,18300.1835133117,0.0284821992411214,41710196.2928089,19.33,112.4033579,3.127,Fin,bp180828-44
3302,3346,0.227272727272727,17183,17227,80.6395806389282,17.6471191473105,2.31517519003032,Routine,0.861373962222348,19698.1583472458,0.0282439058527447,42866222.6276686,19.33,112.4033579,3.127,Fin,bp180828-44
3346,3388,0.238095238095238,17227,17269,76.6224990456188,22.2997218608956,2.36387203252664,Routine,0.858036218373459,22146.696107586,0.0298323708608739,43767860.5256131,19.33,112.4033579,3.127,Fin,bp180828-44
3388,3428,0.25,17269,17309,71.7684519667804,27.0704297183028,2.42576983050068,Routine,0.854733121939858,25153.0788220464,0.0313540098793147,44913918.413389,19.33,112.4033579,3.127,Fin,bp180828-44
3428,3469,0.24390243902439,17309,17350,65.5253389945733,33.6187140161165,2.39441097607216,Routine,0.855220700961233,23707.1503954667,0.0307279778513065,44333299.0109912,19.33,112.4033579,3.127,Fin,bp180828-44
3469,3513,0.227272727272727,17350,17394,57.8615243237068,38.9763456758817,2.4802160466659,Routine,0.870768283532885,20814.6895337429,0.0242746014782897,45922007.8372144,19.33,112.4033579,3.127,Fin,bp180828-44
3513,3559,0.217391304347826,17394,17440,49.4111418753862,36.6650179091518,2.43999879710685,Routine,0.873915429221021,18666.7132108277,0.0228638692946412,45177372.3640569,19.33,112.4033579,3.127,Fin,bp180828-44
3559,3603,0.227272727272727,17440,17484,42.1632615188022,29.0128785498611,2.39269072939702,Routine,0.864919167102587,20324.6144180668,0.0264005712925004,44301448.0835675,19.33,112.4033579,3.127,Fin,bp180828-44
3603,3647,0.227272727272727,17484,17528,36.273027497209,23.0300505839576,2.44001045553015,Lunge-Associated,0.86793545482536,20613.414453911,0.0252479187321353,45177588.2235612,19.33,112.4033579,3.127,Fin,bp180828-44
4210,4260,0.2,18091,18141,30.0286738312711,-10.7842841036353,2.00585046447862,Routine,0.858443795073568,13296.7272835566,0.0293156691430616,37138974.5961415,19.33,112.4033579,3.127,Fin,bp180828-44
4260,4327,0.149253731343284,18141,18208,31.3632360177599,-9.52888943315281,2.18509122747217,Routine,0.913141504393499,6888.32431983393,0.0117477738211843,40457675.6963957,19.33,112.4033579,3.127,Fin,bp180828-44
4664,4710,0.217391304347826,18545,18591,41.9757285796988,12.5755047486045,2.39406354916989,Routine,0.871079468260486,18428.63689093,0.0238966432574156,44326866.288749,19.33,112.4033579,3.127,Fin,bp180828-44
4710,4753,0.232558139534884,18591,18634,39.0775711999794,18.6107728253538,2.50474000206462,Routine,0.868048929790908,22175.362932408,0.0251092355860487,46376076.8581504,19.33,112.4033579,3.127,Fin,bp180828-44
4753,4797,0.227272727272727,18634,18678,34.9487343918925,21.493400720327,2.69422721733488,Routine,0.882405758904625,22075.0207209409,0.0200839519123643,49884494.3592751,19.33,112.4033579,3.127,Fin,bp180828-44
4797,4843,0.217391304347826,18678,18724,29.9360985582361,18.5981593481841,2.76621700546668,Routine,0.892998905958121,20102.7434596415,0.0168984666984701,51217408.7314855,19.33,112.4033579,3.127,Fin,bp180828-44
4843,4886,0.232558139534884,18724,18767,25.3546249045674,16.2879566088652,2.71059671751654,Routine,0.879612354096254,23425.9408450258,0.0209292192862046,50187580.9862018,19.33,112.4033579,3.127,Fin,bp180828-44
5482,5538,0.178571428571429,19363,19419,17.1693905881722,0.642276207493609,2.14681398157351,Routine,0.885012933105773,10768.082559762,0.0193644801122905,39748960.0228121,19.33,112.4033579,3.127,Fin,bp180828-44
6890,6943,0.188679245283019,20771,20824,3.84143410485233,-8.80937097002598,2.53923180495776,Routine,0.900609171324323,13550.2162303576,0.0147261726678503,47014703.8216796,19.33,112.4033579,3.127,Fin,bp180828-44
