BeatStart,BeatEnd,OsFreq,BeatStartFBD,BeatEndFBD,AvgDepth,AvgPitch,AvgSpeeds,MaxOrNormal,Eff,Thrust,DragCoeff,Reynolds,TotLength,WettedSurfArea,FlukeArea,Species,DeployID
966,1023,0.175438596491228,10265,10322,2.63209906397585,0.126477543905565,1.74590349593267,Routine,0.873968905510423,6267.06707981736,0.0254055893937899,27793980.9409972,16.62,92.70525661,3.233,Sei,bs190322-47
1023,1073,0.2,10322,10372,2.62466027686527,0.972201136369671,1.77899785727061,Routine,0.857595450967207,8517.58771838663,0.0326374316366859,28320827.9576989,16.62,92.70525661,3.233,Sei,bs190322-47
1073,1120,0.212765957446809,10372,10419,2.42083773249648,1.79288487582962,1.94579332987554,Routine,0.861228716530242,10508.7448967826,0.0307741703777808,30976135.1939957,16.62,92.70525661,3.233,Sei,bs190322-47
1120,1154,0.294117647058824,10419,10453,2.214973306242,-0.018162083724091,2.09063333667329,Routine,0.823114608832218,22233.7974202334,0.0524935163858679,33281921.5091092,16.62,92.70525661,3.233,Sei,bs190322-47
1154,1190,0.277777777777778,10453,10489,2.26829624201615,0.766849386781405,2.17507770159463,Routine,0.836429469756082,20604.4060410913,0.0431977778410637,34626236.9736616,16.62,92.70525661,3.233,Sei,bs190322-47
1675,1717,0.238095238095238,10974,11016,2.36304969775562,-2.36767024970957,2.72343448646271,Routine,0.89433259326637,17099.3344781634,0.0182622399675801,43355824.8706995,16.62,92.70525661,3.233,Sei,bs190322-47
1717,1756,0.256410256410256,11016,11055,2.62617286194182,-0.945474427045224,2.76604631832655,Routine,0.885885984891346,20628.4738581886,0.0210287951138565,44034185.6423249,16.62,92.70525661,3.233,Sei,bs190322-47
1756,1814,0.172413793103448,11055,11113,2.86363155375906,-0.669528375024376,2.84263617334314,Routine,0.952653541499258,6382.79335893354,0.00599477082468185,45253460.9204627,16.62,92.70525661,3.233,Sei,bs190322-47
1814,1869,0.181818181818182,11113,11168,2.96921059640339,-1.99705700075871,2.75353650309771,Routine,0.942505141554575,7483.02035651856,0.00773268016171992,43835035.1355211,16.62,92.70525661,3.233,Sei,bs190322-47
1869,1927,0.172413793103448,11168,11226,3.04176594816408,-0.133027470804001,2.62401721172303,Routine,0.942582730635698,6421.50622536054,0.00766765396088608,41773147.5659357,16.62,92.70525661,3.233,Sei,bs190322-47
